	GEN16	district	party	femaleis1	19
646	1.0	BRO	DEM	1	3
647	1.0	MAN	NPA	1	4
648	1.0	ORA	DEM	0	9
649	1.0	BRE	NPA	0	5
650	1.0	POL	REP	1	5
651	1.0	DUV	DEM	0	1
652	1.0	DUV	DEM	0	5
653	1.0	ALA	DEM	1	5
654	0.0	BRE	INT	0	5
655	1.0	SAN	REP	0	5
656	1.0	DAD	DEM	1	4
657	1.0	PIN	DEM	1	5
658	1.0	CHA	DEM	1	5
659	1.0	ALA	DEM	0	5
660	0.0	HIL	DEM	1	4
661	1.0	OSC	NPA	0	4
662	1.0	SAR	DEM	1	5
663	1.0	ORA	REP	1	5
664	0.0	ORA	NPA	0	5
665	1.0	NAS	DEM	1	5
666	1.0	DAD	DEM	0	4
667	1.0	HIL	DEM	1	4
668	1.0	CHA	NPA	1	5
669	1.0	ALA	REP	1	5
670	1.0	POL	INT	0	2
671	1.0	PIN	NPA	1	5
672	0.0	DAD	REP	0	5
673	1.0	PAL	DEM	0	5
674	1.0	DUV	REP	1	5
675	1.0	LEO	REP	1	5
676	1.0	HIL	DEM	1	5
677	1.0	BRO	DEM	0	5
678	1.0	DAD	REP	0	4
679	1.0	PIN	DEM	1	5
680	1.0	ESC	REP	0	5
681	1.0	MAN	REP	1	5
682	1.0	MRN	REP	0	5
683	0.0	ORA	DEM	1	5
684	0.0	ESC	NPA	1	5
685	0.0	PAL	DEM	0	3
686	1.0	MON	DEM	1	5
687	1.0	LAF	REP	0	5
688	1.0	BRO	REP	1	5
689	1.0	LEO	INT	0	5
690	1.0	DAD	DEM	1	5
691	1.0	DAD	REP	1	4
692	1.0	MON	REP	1	6
693	1.0	ORA	REP	0	2
694	1.0	MAN	DEM	0	2
695	1.0	BRO	DEM	0	5
696	1.0	DAD	REP	1	4
697	1.0	POL	NPA	1	4
698	1.0	BRO	REP	0	5
699	1.0	MRN	REP	1	5
700	1.0	PIN	DEM	1	5
701	1.0	BRO	NPA	1	5
702	1.0	ALA	REP	1	5
703	0.0	PIN	DEM	1	5
704	0.0	BRO	DEM	0	2
705	1.0	FLA	DEM	1	3
706	1.0	PAL	REP	1	4
707	0.0	DAD	DEM	0	4
708	0.0	SEM	NPA	0	5
709	1.0	POL	DEM	1	3
710	1.0	PIN	REP	0	5
711	0.0	DUV	REP	0	5
712	1.0	DAD	REP	0	5
713	1.0	BRO	REP	0	5
714	1.0	CHA	DEM	0	5
715	1.0	LEO	DEM	0	5
716	0.0	DAD	REP	1	4
717	1.0	IND	INT	1	5
718	1.0	BRO	NPA	0	5
719	1.0	DAD	NPA	1	4
720	0.0	CIT	DEM	0	5
721	1.0	LEE	REP	0	5
722	1.0	DAD	NPA	0	4
723	1.0	MRN	REP	1	5
724	1.0	DAD	NPA	0	4
